conference ,title,description,Inc
NVIDIA GTC 2020,Advanced Scientific Visualization with NVIDIA Omniverse [S21973],"Historically, scientific visualization has served two main purposes: on one hand, for the scientist to gain insight into the data and the processes under investigation; on the other hand, for outreach and education, to communicate scientific results to the public and to funding bodies. The tools associated with these workflows are hugely diverse, often preventing scientists from getting access to the highest quality visuals for telling their stories. Especially in times where the general public has been spoiled with computer-generated content in movies, the gap in visual quality between scientific content and entertainment content has never been bigger. Tools that seamlessly fit into the scientific workflow while being capable of producing the highest quality visuals are therefore needed. We'll outline how Omniverse, NVIDIA’s collaboration platform for 3D content creation, can be leveraged to greatly simplify, accelerate, and enhance scientific visualization. We'll introduce the overall Omniverse architecture and then focus on the scientific workflow. We cover how content can be ingested into Omniverse, as well as how content from different sources can be fused and how to produce rich, high-quality visualizations. We'll then show how to augment these visualizations with the embedded real-time physics engine PhysX. Further, we'll demonstrate how, through Omniverse, virtual reality setups that incorporate scientific visualizations can be defined quickly and easily.",NVIDIA
NVIDIA GTC 2020,Advances in Real-Time 3D Hologram Generation [S21248],"We'll introduce VividQ's software pipeline, which facilitates the extraction of 3D point cloud data and conversion to a hologram to be displayed using diffractive optics. This allows for the real-time projection of scenes as truly 3D holographic images. For example, video games can now be viewed in true 3D with full depth of focus. We'll explain why this problem is computationally hard, and how using NVIDIA GPUs allows us to overcome it. Recent advances in hologram generation procedures will be explored, including benefits from newer GPU models and the application of multiple GPUs to computing for a binocular holographic system. We'll also discuss results from VividQ's latest holographic augmented reality head-mounted display prototype.",VividQ
NVIDIA GTC 2020,A Faster Radix Sort Implementation [S21572],"We'll present a faster implementation of the least-significant-digit radix sort. Decoupled look-back is used to reduce the number of memory operations per partition pass from 3N to 2N. A faster partition implementation inside the thread block is used. For 32-bit keys, we use four partition passes, with 8 bits per digit. On V100 sorting 64 million random UInt32 keys, our implementation achieves the speed of 16 Gkey/s, which is more than 2x faster than cub::DeviceRadixSort.",NVIDIA
NVIDIA GTC 2020,AIaaS: Scaling AI Infrastructure for the Enterprise from DGX-1 to SuperPOD [S21996],"Are you getting the most out of your GPU-accelerated hardware? AIaaS (AI-as-a-Service) deployments provide powerful new ways for enterprises to stand up AI infrastructure on top of GPU-accelerated servers (such as NVIDIA DGX Servers). Data scientist users can interact with the cluster via GUI or a simplified command-line interface, where knowledge of underlying container, orchestration, and scheduling technologies is obfuscated. Such systems allow administrators to maximize use of resources and users to get more work done. We'll focus on the variety of AIaaS stacks, considerations, and how to deploy them. We'll demonstrate scaling common AI workloads from a single GPU on an NVIDIA DGX-1 to a SuperPOD cluster (64x DGX-2). We'll also discuss methods to integrate storage and manage datasets, tie in authentication and authorize users, train on NGC containers, and deploy models to production.",NVIDIA
NVIDIA GTC 2020,AI Argus: A Unique Insight Into Logistics [P21812],"As of August 2019, AI Argus, the leading domestic intelligent video analytics platform powered by NVIDIA TeslaT4 and Xavier servers, has been deployed and applied in more than 200 distribution centers and sorting centers in China. We'll focus on algorithms such as loading-rate detection and violated-action pattern detection. AI Argus introduced the Package Lifecycle Tracking System (PLTS), which uses the whole SF's 310,000-channel camera video data to match the Operator's barcode data collector for locating the courier package on each operating node. It shows that the detection of damage caused by penetrating damage, moisture, wrinkles/pressure is significant. We'll further develop and research product performance indicators based on T4 and Xavier. We expect that in the coming year, AI Argus will deploy thousands of edge servers and become the first truly large-scale edge computing platform in China's logistics industry.",SF Techology
NVIDIA GTC 2020,AI/ML with vGPU on Openstack or RHV Using Kubernetes [S22106],"By sharing GPU resources for AI/ML, you can better utilize on-premises hardware and gain flexibility without moving sensitive workflows into the cloud. Learn how Red Hat Openstack Platform and Red Hat Virtualization are bringing agility to AI/ML accelerated workloads with vGPU. We'll describe how Red Hat contributes to new vGPU capabilities like SR-IOV and live migration support. This makes setting up AI/ML within a Kubernetes system even simpler and more reliable, as the workloads can be migrated and SR-IOV functionality boosts the performance and usability of the vGPU device.",Red Hat
NVIDIA GTC 2020,An Overview of GPU Recurrent Neural Network Performance [S21301],"We'll focus on performance of recurrent neural networks (RNNs) at the sub-framework level. There are several distinct methods one can use to implement an RNN, each with advantages and disadvantages, and the right choice will depend on both the target GPU and the network hyperparameters. We'll cover these methods in detail and give approximate hyper-parameter ranges for each method.",NVIDIA
NVIDIA GTC 2020,AutoFAQ: Automation of Customer Support for Most Common Questions [s21252],"In most support systems, up to 70% of user questions are very similar to each other. Instead of manually answering each of them, it makes sense to automate it. We'll discuss the business value of such systems, and how to integrate them into processes; how to develop an architecture for automating question-answering; how to set up a training loop, and which algorithms to choose; which models need to be trained, and why; and state-of-the-art language modeling models. Knowledge of Python, NLP, language models, and cloud computing will be helpful, but it's not essential.",Poteha Labs
NVIDIA GTC 2020,Building a Smart Language-Understanding System for Conversational AI with HuggingFace Transformers [S22647],"In this session, HuggingFace showcases an example of a natural language understanding pipeline to create an understanding of sentences, which can then be used to craft a simple rule-based system for conversation. They'll leverage the famous HuggingFace transformers and showcase the powerful yet customizable methods to implement tasks such as sequence classification, named-entity recognition, natural language generation, or question answering. These tasks will be joined to create a basic NLU pipeline to get the most out of a sentence or text, using transformer models such as BERT to provide state-of-the-art results. These methods leverage the PyTorch or TensorFlow numerical computation frameworks, which can leverage the power of GPUs to radically speed up the inference.",Inc.
NVIDIA GTC 2020,CLOUDXR: Streaming AR and VR [S22178],"Learn how the NVIDIA CloudXR SDK can help you drive immersive extended reality (XR) experiences from anywhere using NVIDIA Quadro GPUs. NVIDIA CloudXR is the groundbreaking technology that delivers wireless virtual and augmented reality from NVIDIA RTX GPUs across performant networks. By dynamically adjusting to network conditions, CloudXR maximizes image quality and frame rates. Scale XR capabilities throughout your enterprise by combining CloudXR with NVIDIA GPU virtualization software to provide seamless experiences comparable to the most robust tethered configurations. Included in this presentation will be examples of partner ISVs extending the OpenVR applications into XR streaming applications.",NVIDIA
NVIDIA GTC 2020,Combined Python/CUDA JIT for Flexible Acceleration in RAPIDS [S21393],"We'll introduce our design and implementation of a framework within RAPIDS/cuDF that enables compiling Python user-defined functions and inlining them into native CUDA kernels. Our framework uses the Numba Python compiler and Jitify CUDA just-in-time (JIT) compilation library to provide cuDF users the flexibility of Python with the performance of CUDA as a compiled language. An essential part of the framework is a parser that parses the CUDA PTX function, which is compiled from the Python UDF, into an equivalent CUDA device function that can be inlined into native CUDA C++ kernels. Learn how our approach makes it possible for non-expert Python users to extend optimized dataframe operations with their own Python UDFs, and enables more flexibility and generality for high-performance computations on dataframes in RAPIDS.",NVIDIA
NVIDIA GTC 2020,CuPy Overview: NumPy Syntax Computation with Advanced CUDA Features [S22471],"We'll introduce CuPy, describing the advantages of the library and how it is cleanly exposing in Python multiple CUDA state-of-the art libraries such as cuTENSOR or cuDNN. Discover the CuPy advantages and how they can use it to experience performance gains in their NumPy codes without any major changes.",Preferred Networks
NVIDIA GTC 2020,Distributed Deep Learning with Horovod on Spark [s21300],"We'll show how to scale distributed training of TensorFlow, PyTorch, and MXNet models with Horovod, a library designed to make distributed training fast and easy to use. We'll explain the role of Horovod in taking a model designed on a single GPU and training it on a cluster of GPU servers with just a few additional lines of Python code. We'll also explore how Horovod has been used across the industry to scale training to hundreds of GPUs, and the techniques that are used to maximize training performance. Although frameworks like TensorFlow and PyTorch simplify the design and training of deep learning models, difficulties usually arise when scaling models to multiple GPUs in a server or multiple servers in a cluster.",Uber Technologies
NVIDIA GTC 2020,Document Understanding Platform: Extracting Structured Information from Financial Documents [S21459],"In today’s highly automated world of financial services, consumers, the self-employed, and small business owners still face the tedious and time-consuming task of entering data manually from paper documents. Document Understanding is a company-wide initiative at Intuit that aims to make data preparation and entry obsolete through the application of computer vision and machine learning. We'll describe the design and modeling methodologies used to build this platform-as-a-service. Intuit’s Document Understanding Platform orchestrates a variety of services and machine-learning capabilities using structured and unstructured documents uploaded by users, regardless of format (smartphone photos, PDFs, forms, etc.), and presents high-confidence results back within the company’s product ecosystem.",Intuit
NVIDIA GTC 2020,Efficient 3D Convolutional Network Design for Human Instance-Level Video Action Recognition [P22275],"We discuss the design factors of the human instance-level video action recognition, especially on edge computing hardware like a Jetson AGX Xavier embedded module. First, we present our research motivation in human action recognition fields. Second, we talk about our pipeline for human instance-level video action recognition. Third, we explain how to enhance the accuracy using person detectors such as YOLOv3 and Mask RCNN. Finally, we discuss how to utilize action recognition models in terms of accuracy to action inference speed ratio on the Xavier module, which is very useful in practice.",Artificial Intelligence Research Institute (AIRI)
NVIDIA GTC 2020,Espresso: A Fast End-to-End Neural Speech Recognition Toolkit [s21239],"We'll introduce Espresso, an open-source, modular, extensible, end-to-end neural automatic speech recognition (ASR) toolkit based on the deep learning library PyTorch and the popular neural machine translation toolkit fairseq. Espresso supports distributed training across GPUs and computing nodes, and features various decoding approaches commonly employed in ASR, including look-ahead word-based language model fusion, for which a fast, parallelized decoder is implemented. Espresso achieves state-of-the-art ASR performance on the WSJ, LibriSpeech, and Switchboard datasets, among other end-to-end systems without data augmentation, and is up to 11x faster for decoding than similar systems, such as ESPnet.",Johns Hopkins University
NVIDIA GTC 2020,Evaluation of a Multi-GPU Optimized Non-Hydrostatic Ocean Model with Multigrid Preconditioned Conjugate Gradient Method [P21930],"The conjugate gradient method with multigrid preconditioners (MGCG) is used in scientific applications because of its high performance and scalability with many computational nodes. GPUs are thought to be good candidates for accelerating such applications, with many meshes where an MGCG solver could show high performance. No previous studies have evaluated and discussed the numerical character of an MGCG solver on GPUs. Consequently, we implemented and optimized our “kinaco” numerical ocean model with an MGCG solver on GPUs. We evaluated its performance and discussed inter-GPU communications on a coarse grid on which GPUs could be intrinsically problematic. We achieved 3.9x speedup compared to CPUs, and learned how inter-GPU communications depend on the number of GPUs and the aggregation level of information in a multigrid method.",RIST
NVIDIA GTC 2020,EXtended Particle System (XPS): High-Performance Particle Simulation [P21775],"We'll present a framework for a GPU-based discrete element method solver for real-world particle problems featuring coupling ability with a CPU-based computational fluid dynamics solver provided by one of our partners. Current features include support of non-spherical shapes like multi-sphere particles and true bi-convex tablets, plus heat transfer and liquid transfer. We recently integrated a smoothed-particle hydrodynamics solver, as well as support for polyhedral-shaped solid particles.",RCPE GmbH
NVIDIA GTC 2020,Exterminating Buffer Overflows and Other Embarrassing Vulnerabilities with SPARK Ada on Tegra [S21122],"Since 2018, NVIDIA has been actively investigating the SPARK Ada programming language to develop their most sensitive pieces of firmware. We'll explain how users of the NVIDIA hardware can also benefit from this language choice when developing applications for the Tegra SoC. The benefits of the technology, from a cyber security point of view, will be demonstrated through the use of formal methods, allowing trivial proof of properties, such as absence of buffer overflows. We'll describe using this technology on top of ARM processor cores, as well as methodologies for applications leveraging the GPU, either through existing libraries interfaces/CUDA code, or through an experiential port of Ada/OpenACC, which allows applications directly written in Ada or SPARK to offload to the GPU.",AdaCore
NVIDIA GTC 2020,Fast Distributed Joins with RAPIDS and UCX [s21482],"There are numerous optimized single-GPU join implementations (such as RAPIDS cuDF), but scaling out to multiple GPUs across multiple nodes is challenging. The repartitioned join approach is one of the most popular distributed join algorithms, featuring all-to-all exchange as the main communication pattern. We'll show how to leverage UCX for efficient all-to-all implementation and demonstrate various optimization strategies, such as reusing communication buffers to speed up GPU-to-GPU transfers and overlapping compute with communications. The implementation is designed to reuse RAPIDS components for single-GPU, and scales to NVLINK and Infiniband systems. Our latest performance results demonstrate that a single DGX-2 can achieve 220 GB/s throughput for joining 8B/8B key-value pairs, while 18 DGX-1V nodes (144 GPUs) connected over IB achieve 503 GB/s, which is comparable with 244 CPU nodes (2K cores) in the best-known distributed CPU implementation.",NVIDIA
NVIDIA GTC 2020,From High to Low Level: A Comparative Study of Programming Approaches for NVIDIA GPUs [S21308],"Learn about various available methods to program NVIDIA GPUs, from using high-level GPU libraries in Python to optimized CUDA C programming. We'll discuss the development and performance of several implementations of software to simulate the 2D Ising model for spin systems, comparing the different programming approaches in terms of development effort and simulation performance. We'll show how Python, in combination with the Numba/CuPy packages, enables users to write programs, with all the productivity benefits of a high-level language, that can still provide competitive performance to lower-level implementations. We'll also highlight some performance pitfalls encountered with these tools and discuss how we addressed them. Finally, we'll compare performance against published results on other hardware platforms and show that even simple programming methods on GPUs can provide competitive performance, while our optimized low-level implementation can rapidly simulate lattices sizes outside the scope of comparable field-programmable gate array solutions.",NVIDIA
NVIDIA GTC 2020,GPipe: Efficient Training of Giant Neural Networks Using Pipeline Parallelism [S21873],"Scaling up deep neural network capacity is an effective way to improve model quality for several different machine learning tasks. In many cases, increasing model capacity beyond the memory limit of a single accelerator has required developing special algorithms or infrastructure. These solutions are often architecture-specific, and do not transfer to other tasks. To address the need for efficient and task-independent model parallelism, we'll introduce GPipe, a pipeline parallelism library that allows scaling any network that can be expressed as a sequence of layers. By pipelining different sub-sequences of layers on separate accelerators, GPipe provides the flexibility of efficiently scaling a variety of different networks to gigantic sizes. Moreover, GPipe utilizes a novel batch-splitting pipelining algorithm, resulting in almost linear speedup when a model is partitioned across multiple accelerators.",Google
NVIDIA GTC 2020,How to Build a Multi-Camera Media Server for AI Processing on Jetson [S22396],"We'll build a simple multi-camera media server for AI processing on a Jetson Board and demonstrate how, by using GStreamer Daemon, Interpipes, and DeepStream, you can develop a scalable and robust prototype to capture from multiple cameras using GMSL2 Virtual Channels. Besides achieving real-time deep learning inference, the server is completely dynamic. We'll show its flexibility by triggering actions such as taking a snapshot, recording a video, or starting a network streaming when a specific prediction is made. By the end of this session you'll have acquired the framework basics that will allow you to scale to your specific multimedia and AI needs.",RidgeRun
NVIDIA GTC 2020,Knowledge Transfer Graph for Deep Collaborative Learning [P22383],"We present a new graph-based approach for more flexible and diverse combinations of knowledge transfer for deep collaborative learning. To achieve the knowledge transfer, we propose a novel graph representation called knowledge transfer graph that provides a unified view of the knowledge transfer and has the potential to represent diverse knowledge transfer patterns. We also propose four gate functions that are introduced into loss functions. The four gates, which control the gradient, can deliver diverse combinations of knowledge transfer. Searching the graph structure enables us to discover more-effective knowledge transfer methods than a manually designed one. Experimental results show that the proposed method achieved significant performance improvements and was able to find remarkable graph structures.",Chubu University
NVIDIA GTC 2020,Learning Human Objectives by Evaluating Hypothetical Behavior [P22312],We present ReQueST: an algorithm for training reinforcement learning agents from human feedback in the presence of unknown unsafe states.,Berkeley
NVIDIA GTC 2020,Modularizing Natural Language Processing [S21560],"Recent success and growth in natural language processing and artificial intelligence have given the world many new applications, techniques, models, and architectures. We'll show how appropriate abstraction and modularization can streamline both development and deployment of NLP technologies. We'll provide a systematic overview of NLP abstractions and breakdown, the insights of machine learning integration, and the designs of NLP systems for fast module development. You'll learn to use off-the-shelf tools to practice the modularized NLP and build practical applications. Our talk is suitable for researchers and practitioners with an intermediate understanding of NLP and ML concepts and applications, and a strong interest in real-world NLP application design and development.",Carnegie Mellon University
NVIDIA GTC 2020,Motion Reasoning for Goal-Based Imitation Learning [P22363],"We address goal-based imitation learning, where the aim is to output the symbolic goal from a third-person video demonstration. This enables the robot to plan for execution and reproduce the same goal in a completely different environment. The key challenge is that the goal of a video demonstration is often ambiguous at the level of semantic actions. The human demonstrators might unintentionally achieve certain subgoals in the demonstrations with their actions. Our main contribution is to propose a motion reasoning framework that combines task and motion planning to disambiguate the true intention of the demonstrator in the video demonstration. This allows us to robustly recognize the goals that cannot be disambiguated by previous action-based approaches.",Stanford University
NVIDIA GTC 2020,"Named Tensors, Model Quantization, and the Latest PyTorch Features [S22145]","PyTorch, the popular open-source ML framework, has continued to evolve rapidly since the introduction of PyTorch 1.0, which brought an accelerated workflow from research to production. We’ll deep dive on some of the most important new advances, including the ability to name tensors, support for quantization-aware training and post-training quantization, improved distributed training on GPUs, and streamlined mobile deployment. We’ll also cover new developer tools and domain-specific frameworks including Captum for model interpretability, Detectron2 for computer vision, and speech extensions for Fairseq.",Facebook
NVIDIA GTC 2020,Opening Up the Black Box: Model Understanding with Captum and PyTorch [S22147],"PyTorch, the popular open-source ML framework, has continued to evolve rapidly since the introduction of PyTorch 1.0, which brought an accelerated workflow from research to production. We’ll deep dive on some of the most important new advances, including the ability to name tensors, support for quantization-aware training and post-training quantization, improved distributed training on GPUs, and streamlined mobile deployment. We’ll also cover new developer tools and domain-specific frameworks including Captum for model interpretability, Detectron2 for computer vision, and speech extensions for Fairseq.",Facebook AI
NVIDIA GTC 2020,Optimized Image Classification on the Cheap [s21598],"We'll anchor on building an image classifier trained on the Stanford Cars dataset to evaluate two approaches to transfer learning — fine tuning and feature extraction — and the impact of hyperparameter optimization on these techniques. Once we define the most performant transfer-learning technique for Stanford Cars, we'll explore Bayesian Optimization as a black-box optimization technique to tune image-transformation parameters required to augment the model, using the downstream image classifier’s performance as the guide. Drawing on a rigorous set of experimental results can help us answer the question: How can resource-constrained teams make tradeoffs between efficiency and effectiveness using pre-trained models?",SigOpt
NVIDIA GTC 2020,Optimizing Work Scheduling and Memory Usage for Complex Database Queries on GPUs [P22017],"The growth of data volumes of online analytical processing systems has made the GPU an attractive platform for executing data analytical queries. Besides the large data sizes, most of the real-world analytical queries are very complex, with multiple joins performed across multiple tables. In this session, we'll show how CUDA Graphs and RAPIDS cuDF components enable a much easier acceleration of complex queries on the GPU. In addition to programmability improvements, our design achieves better utilization of system resources for complex queries, such as optimized data pipeline, maximized task parallelism, and more efficient memory management. Moreover, we compare CUDA Graphs approach with the traditional approach using multiple streams and showcase how we achieve temporary memory reusing across different joins.",NVIDIA
NVIDIA GTC 2020,Optuna: An Eager Hyperparameter Optimization Library [s21291],"We'll present Optuna, an open-source, next-generation hyperparameter optimization framework with three novel design criteria: (1) an eager API that allows users to concisely construct dynamic, nested, or conditional search spaces; (2) efficient implementation of both sampling and early-stopping strategies; and (3) an easy-to-set-up, versatile architecture that can be deployed for various purposes, ranging from simple scaling on distributed GPUs to lightweight experimentation, conducted via interactive interface. Optuna is the first optimization software designed to run in Eager mode. We'll present the basic usage of Optuna, describe the design techniques that we needed to meet the above criteria during development, and share our experiences leveraging Optuna to tune hyperparameters on single and multiple GPUs.",Preferred Networks
NVIDIA GTC 2020,Scaling Deep Learning for Automatic Speech Recognition [S21838],"We'll discuss challenges of scaling automatic speech recognition (ASR) workloads with wav2letter++, a fast C++ toolkit for ASR. We'll introduce distributed training techniques used to achieve almost linear scalability and compare wav2letter to other popular ASR toolkits. Constant increase in model and dataset sizes, along with current trends toward unsupervised and semi-supervised learning, require squeezing out every bit of performance. In addition to distributed training, we'll cover other approaches for faster training and for training large models.",Facebook
NVIDIA GTC 2020,Software-Based Compression for Analytical Workloads [S21597],"Real-world analytical pipelines have very large memory requirements and stress the CPU-GPU and GPU-GPU interconnects. The GPU memory size is limited, and the data is often offloaded to CPU memory for further processing on the GPU later. That can present a significant bottleneck for the end-to-end pipeline. Fast compression and decompression can improve performance by reducing the amount of data to be sent over the interconnect, or even completely eliminate the need to offload data by storing it in GPU memory in compressed format and performing subsequent operations on the compressed data. We'll survey various parallel compression algorithms, from LZ-based to run-length encoding, dictionary, and bit-packing. Efficient GPU implementations of cascaded schemes for analytical workloads will be presented, along with user-friendly interfaces for GPU applications. Our best approaches can achieve up to 77x compression ratio for columns from Fannie Mae's Loan Performance dataset, and maintain 250-350GBps compression/decompression speed on Tesla V100.",NVIDIA
NVIDIA GTC 2020,"The Future of GPU Rendering: Real-Time Raytracing, Holographic Displays, and Light Field Media [S22153]","We'll present our vision for the future of GPU rendering and how it will impact gaming, VFX, media, and design in the 2020s and beyond. We'll detail how the future of media lies in holographics, light field technologies, and real-time rendering, and how OTOY is working to help drive that future through OctaneRender.",OTOY Inc
NVIDIA GTC 2020,The SpeechBrain Project [s21648],"SpeechBrain is an open-source project that aims to develop an all-in-one speech toolkit based on PyTorch. Our goal is to create a single, flexible, user-friendly toolkit that can be used to easily develop state-of-the-art speech technologies. SpeechBrain will be a standalone framework that can significantly speed up research and development of speech and audio processing techniques. Indeed, it's a lot easier to familiarize oneself with a single toolkit than to learn several different frameworks, as one must do today. Moreover, using a single platform makes it easier to build a strong and fruitful community where members can share models, codes, baselines, and suggestions with a possible positive impact in the field of speech technologies. SpeechBrain is currently under development, and a first alpha version will be available in the next months. We'll describe the motivations, goals, and current status of the project.",Mila - Universit de Motral
NVIDIA GTC 2020,TNL: Template Numerical Library for Modern Parallel Architectures [P21800],"We'll present a numerical library that's being developed int our department. The library's goal is to offer flexible data structures and algorithms for the high performance computing, and especially for GPUs. Its design benefits strongly from the modern features of C++. In many situations, the user of TNL may write code independently on the hardware platform. The library is available at www.tnl-project.org.",Czech Technical University in Prague
NVIDIA GTC 2020,Toward Industrial LES/DNS in Aeronautics: Leveraging OpenACC for Massively Parallel CPU+GPU Simulations [s21958],"We'll describe recent advances toward industrial LES/DNS computational fluid dynamics within the scope of the EU TILDA (Towards Industrial LES/DNS in Aeronautics) project. The TILDA project aims to complete high-fidelity industrial LES/DNS simulations with upwards of 1 billion degrees of freedom, with a turnaround time on the order of one day. Achieving this requires near-linear efficiency on massively parallel, heterogeneous CPU+GPU compute resources. We'll describe the development of FineFR, a high-order CFD solver supporting heterogeneous CPU+GPU architectures. We'll emphasize the highly tuned OpenACC implementation, allowing very efficient data locality with minimal code intrusion. Finally, we'll present benchmark data and demonstration computations from the OLCF Summit Supercomputer showing near-linear scalability on upwards of 50,000 CPU cores and 7,000 NVIDIA GPUs.",Numeca
NVIDIA GTC 2020,Toward INT8 Inference: Deploying Quantization-Aware Trained Networks using TensorRT [s21664],"We'll describe how TensorRT can optimize the quantization ops and demonstrate an end-to-end workflow for running quantized networks. Accelerating deep neural networks (DNN) is a critical step in realizing the benefits of AI for real-world use cases. The need to improve DNN inference latency has sparked interest in lower precision, such as FP16 and INT8 precision, which offer faster inference time. Two prevalent techniques to convert FP32 DNNs to INT8 precision are post-training quantization and quantization-aware training (QAT). TensorRT, a platform for high-performance deep learning inference, supports post-training quantization by performing calibration on the trained model, which quantizes the weights and activations. However, in some cases post-training quantization can degrade accuracy when converting a FP32 model to its INT8 counterpart. QAT introduces quantization ops to achieve higher accuracy by simulating the process for lower-precision quantization during training.",NVIDIA
NVIDIA GTC 2020,Training and Deploying Conversational AI Applications with NeMo and Jarvis [S21211],"Learn how to build speech recognition, natural language processing, and speech synthesis services with Neural Modules. First, we'll cover the basics of the NeMo toolkit for training and fine-tuning conversational AI models on your data. Then, we'll discuss how to use Jarvis to deploy and combine these services into a complete conversational AI solution.",NVIDIA
NVIDIA GTC 2020,XLNet Optimization Using CUDA [S21478],"XLNet, a generalized autoregressive pretraining method, achieved great results on several natural language processing tasks. Compared to the previous language model, XLNET has advantages like being able to process long sentences, and avoids the disadvantage of using special tokens. However, as far as we know, there still isn't proper performance optimization for XLNet using CUDA, which would demand more inference time and hinder XLNET's wide deployment. We first ran the performance analysis of XLNet using its Tensorflow code. Then we optimized XLNet with these aspects:
For relative positional encoding, we optimized its parallelization with the help of cuBlas;
We customized the corresponding self-attention architecture based on the attention code in FastTransformer; and
We used kernel fusion and other CUDA optimization strategies to speedup XLNet.",NVIDIA
NVIDIA GTC 2020,3D Analysis Data Generation from X-ray Data for HealthTech by DGXs [P22304],"In Japan, research on regenerative medicine is advancing, various levels of treatment are advancing, and laboratories dealing with nearly 1,000 regenerative medicine cells are starting to appear every week. Research in these regenerative treatments requires new medical imaging—to increase the resolution of two-dimensional image data, for example. Rather than discovering new indicators that map annotations, it is easier to use existing indicators or to generate images for use. Currently, a 3D image is generated from a 2D image by X-ray, and a 3D curved surface learned by a Tesla chip is developed to generate a realistic 3D image. By generating even sliced images, we provide digital data materials that can be used as reference for proceeding to MRI after X-ray imaging.",Inc.
NVIDIA GTC 2020,Accelerate Quantitative Clinical Neuroimaging Analysis with AI: Steps Toward Personalized Disease Progression Monitoring in Clinical Neurology [S21421],"Quantitative neuroimaging analysis can further extract critical information from diagnostic imaging. For instance, brain-volume change has been considered as a critical biomarker in neurodegenerative disease progression. Instead of describing the brain shrinking process as ""moderate"" or ""severe"" through visual inspection, now we can, with computing, precisely measure the brain-tissue loss at the scale of 0.1% with conventional MRI scans. However, precision and accuracy of the analysis often require an expert level of quality control, usually carried out by certified imaging analysts at dedicated imaging reading centers. Deep learning and GPU acceleration make it possible to transfer complex and sophisticated analysis into fully automated assessment in daily clinics. We'll share views from both imaging scientists and clinicians on how AI is accelerating clinical imaging quantitative biomarker research.",Sydney Neuroimaging Analysis Centre
NVIDIA GTC 2020,"Accelerating Cancer Research: VDI by Day, Compute by Night [S21845]","The Netherlands Cancer Institute–Antoni van Leeuwenhoek Hospital (NKI-AVL) is one of the top 10 comprehensive cancer centers in the world. By combining cancer care, research, and by exchanging knowledge internationally, they make a significant contribution to solving the cancer problem in the 21st century. To meet that challenge, NKI-AVL built a software-defined infrastructure to accelerate research and enhance efficiency for clinicians. During daytime, the VDI infrastructure will give health care professionals fast, remote, and secure access to patient data. At night, the same VDI platform is utilized by researchers to execute computational GPU workloads. As a result, the high-performance and flexible IT infrastructure enables physicians and nurses to spend more focused time on patient care, and researchers to advance new discoveries in cancer treatment.",Antoni van Leeuwenhoek Hospital and Netherlands Cancer Institute
NVIDIA GTC 2020,Accelerating Quantum Chemistry Simulations with AI [S21273],"We'll discuss computational chemistry applications of machine learning covering three topics. First, we'll examine the use of neural networks and other machined-learned methods for describing a quantum-accurate potential energy surface. Second, we'll cover graph convolution neural networks and graph message-passing networks for predicting molecular properties at a fraction of the cost of traditional electronic structure calculations. Third, we'll discuss variational autoencoders for molecule discovery and illustrate their application to drug discovery.",NVIDIA
NVIDIA GTC 2020,Acceleration of Wavefront Analysis Using Zernike Polynomial Fitting [P21849],"Zernike polynomial fitting can analyze the wavefront map of biological cells with uniform contents. Aberrations not only indicate changes in the wavefront after passing through cells, but also provide angular position for tomogram reconstruction. However, Zernike polynomial fitting for wavefront analysis is time-consuming. To raise efficiency, we implemented Zernike polynomial fitting on a GPU card. We simulate a sequence of red blood cell phase maps with various rotation angles, and estimate the angles using the coefficients of defocus, vertical, and horizontal tilts from Zernike analysis. The error of angle estimation is under 0.7%, and we achieve video-rate processing at 128×128 pixels. This shows the possibility for implementing wavefront analysis on a GPU card and its benefit on tomogram reconstruction.",National Taiwan University
NVIDIA GTC 2020,Accurate Multiple Sclerosis Lesion Segmentation Using Deep Learning [P21889],"We present results of a comparison of multiple deep neural networks (DNNs) performing image segmentation for multiple sclerosis (MS) brain lesions. MS is an autoimmune disease that leads to demyelinating lesions in the central nervous system. Measuring disease progression via brain magnetic resonance imaging (MRI) is an important part of managing MS. Manual segmentation of MRI brain lesions by radiologists is time-consuming and subject to high user variability. Our poster shows the results of using three different DNN architectures, trained using NVIDIA GPU. You'll learn about using neural network for medical image segmentation, particularly applied to the measurement of MS brain lesions. You'll also learn about different DNN architectures, including Inception-based convolutional networks and U-Net based networks, as well as techniques used to compare automated segmentation results to each other and to human expert segmentation.",Girls Computing League
NVIDIA GTC 2020,"AI Methods to Transfer Natural Language into Actionable Knowledge in Medicine: From Radiology, Pathology Reports to Social Media Posts [S22150]","Learn about the key types of use cases for AI-driven natural language processing (NLP) that will ultimately improve medical and public health practice by mining humongous amounts of free text from clinical notes and social media posts. First, we'll describe methods to leverage narrative reports associated with radiological scans to automatically generate labels for creating large annotated image datasets, and we'll highlight its application to different domains of radiology (CT, MR, US). Second, we'll discuss the challenge of clinical prediction and present innovative longitudinal XAI approaches (AI with explainability) to improve clinician acceptance. Finally, we'll discuss the emerging use of publicly available social media data in medicine and public health. While it is challenging to execute data mining from this resource, we'll present successful NLP pipelines that can convert this noisy language data into valuable and actionable knowledge.",Emory University
